clusterId	category	synthetic	resolvedType	clusterCount	clusterDesc
0	ARTIFACT	false	PAIR_INF	1	INF
1	ARTIFACT	false	PAIR_INF	1	INF
2	ARTIFACT	false	PAIR_INF	1	INF
3	ARTIFACT	false	LOW_VAF	1	BND
4	ARTIFACT	false	PAIR_INF	1	INF
5	ARTIFACT	false	PAIR_INF	1	INF
6	ARTIFACT	false	LOW_VAF	1	SGL
7	ARTIFACT	false	PAIR_INF	1	INF
8	ARTIFACT	false	PAIR_INF	1	INF
9	ARTIFACT	false	LOW_VAF	1	BND
10	ARTIFACT	false	PAIR_INF	1	INF
11	ARTIFACT	false	LOW_VAF	1	BND
12	ARTIFACT	false	PAIR_INF	1	INF
13	ARTIFACT	false	PAIR_INF	1	INF
14	ARTIFACT	false	PAIR_INF	1	INF
15	ARTIFACT	false	PAIR_INF	1	INF
16	ARTIFACT	false	PAIR_INF	1	INF
17	ARTIFACT	false	PAIR_INF	1	INF
18	ARTIFACT	false	PAIR_INF	1	INF
19	ARTIFACT	false	PAIR_INF	1	INF
20	ARTIFACT	false	PAIR_INF	1	INF
21	ARTIFACT	false	LOW_VAF	1	SGL
22	ARTIFACT	false	PAIR_INF	1	INF
23	ARTIFACT	false	PAIR_INF	1	INF
24	ARTIFACT	false	LOW_VAF	1	SGL
25	ARTIFACT	false	PAIR_INF	1	INF
26	ARTIFACT	false	PAIR_INF	1	INF
27	ARTIFACT	false	PAIR_INF	1	INF
28	ARTIFACT	false	PAIR_INF	1	INF
29	ARTIFACT	false	PAIR_INF	1	INF
30	ARTIFACT	false	PAIR_INF	1	INF
31	ARTIFACT	false	PAIR_INF	1	INF
32	ARTIFACT	false	LOW_VAF	1	SGL
33	ARTIFACT	false	PAIR_INF	1	INF
34	ARTIFACT	false	PAIR_INF	1	INF
35	ARTIFACT	false	LOW_VAF	1	BND
36	ARTIFACT	false	LOW_VAF	1	INV
37	ARTIFACT	false	LOW_VAF	1	INV
38	ARTIFACT	false	PAIR_INF	1	INF
39	ARTIFACT	false	PAIR_INF	1	INF
40	ARTIFACT	false	PAIR_INF	1	INF
41	ARTIFACT	false	PAIR_INF	1	INF
42	ARTIFACT	false	LOW_VAF	1	BND
43	ARTIFACT	false	PAIR_INF	1	INF
44	ARTIFACT	false	PAIR_INF	1	INF
45	ARTIFACT	false	PAIR_INF	1	INF
46	ARTIFACT	false	PAIR_INF	1	INF
47	ARTIFACT	false	PAIR_INF	1	INF
48	ARTIFACT	false	PAIR_INF	1	INF
49	ARTIFACT	false	PAIR_INF	1	INF
50	ARTIFACT	false	PAIR_INF	1	INF
51	ARTIFACT	false	PAIR_INF	1	INF
52	ARTIFACT	false	PAIR_INF	1	INF
53	ARTIFACT	false	PAIR_INF	1	INF
54	ARTIFACT	false	PAIR_INF	1	INF
55	ARTIFACT	false	PAIR_INF	1	INF
56	ARTIFACT	false	LOW_VAF	1	INV
57	ARTIFACT	false	LOW_VAF	1	SGL
58	ARTIFACT	false	PAIR_INF	1	INF
59	ARTIFACT	false	PAIR_INF	1	INF
60	ARTIFACT	false	LOW_VAF	1	SGL
61	ARTIFACT	false	PAIR_INF	1	INF
62	ARTIFACT	false	PAIR_INF	1	INF
63	ARTIFACT	false	LOW_VAF	1	SGL
64	ARTIFACT	false	PAIR_INF	1	INF
65	ARTIFACT	false	PAIR_INF	1	INF
66	ARTIFACT	false	PAIR_INF	1	INF
67	ARTIFACT	false	PAIR_INF	1	INF
68	ARTIFACT	false	PAIR_INF	1	INF
69	ARTIFACT	false	PAIR_INF	1	INF
70	ARTIFACT	false	PAIR_INF	1	INF
71	ARTIFACT	false	LOW_VAF	1	BND
72	ARTIFACT	false	LOW_VAF	1	SGL
73	ARTIFACT	false	LOW_VAF	1	INV
74	ARTIFACT	false	PAIR_INF	1	INF
75	ARTIFACT	false	PAIR_INF	1	INF
76	ARTIFACT	false	PAIR_INF	1	INF
77	ARTIFACT	false	PAIR_INF	1	INF
78	ARTIFACT	false	PAIR_INF	1	INF
79	ARTIFACT	false	LOW_VAF	1	SGL
80	ARTIFACT	false	PAIR_INF	1	INF
81	ARTIFACT	false	PAIR_INF	1	INF
82	ARTIFACT	false	PAIR_INF	1	INF
83	ARTIFACT	false	PAIR_INF	1	INF
